case_id,split,evaluation_contract,company,archetype,cutoff,target,horizon,metric,profit_metric,unit,actual,v62,v63,confidence,human_required,source_ids,point_in_time_note,v62_point_error,v62_margin_error_pp,v62_direction_correct,v62_sign_correct,v62_low,v62_high,v62_hit,v62_interval_score,v63_point_error,v63_margin_error_pp,v63_direction_correct,v63_sign_correct,v63_low,v63_high,v63_hit,v63_interval_score
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2021,1,revenue,GAAP operating income,USD bn,2.9689,2.85,2.9,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,0.04004850281248948,,True,,2.4225,3.2775,True,0.2879854491562531,0.023207248475866544,,True,,2.4,3.5,True,0.3705075954057058
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2021,1,profit,GAAP operating income,USD bn,-0.258389,-0.15,-0.2,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,,3.4400318388345132,,True,-0.43500000000000005,0.13500000000000004,True,0.19199029943750212,,1.8066380094334242,,True,-0.6,0.15,True,0.25261881504934486
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2022,2,revenue,GAAP operating income,USD bn,4.462383,3.1,3.3,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,0.3053039149709919,,True,,2.17,4.03,False,2.3547194402631946,0.260484812711056,,True,,2.5,4.8,True,0.515419675989264
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2022,2,profit,GAAP operating income,USD bn,-0.347668,-0.05,-0.2,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,,6.178180596447263,,True,-0.608,0.5079999999999999,True,0.25009059061044286,,1.7304777616476537,,True,-1.1,0.2,True,0.29132416468958405
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2023,3,revenue,GAAP operating income,USD bn,5.9196,3.4,3.9,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,0.42563686735590245,,True,,1.87,4.93,False,3.860395972700859,0.34117170079059395,,True,,2.8,6.5,True,0.6250422325832827
MRVL@FY2020,perimeter-break,distribution-only,Marvell Technology,optical-interconnect-custom-silicon,FY2020,FY2023,3,profit,GAAP operating income,USD bn,0.238,0.1,-0.1,90%,True,MRVL_FY2020_10K / MRVL_INPHI_ANNOUNCEMENT_AFTER_CUTOFF,At the March 2020 cutoff the Inphi transaction was not public. Forecast the organic perimeter; keep acquisition-driven expansion as a distribution tail.,,1.0793654579204472,,True,-0.75,0.95,True,0.2871815663220488,,6.584644492611247,,False,-1.2,0.7,True,0.32096763294817215
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2022,1,revenue,GAAP operating income,USD bn,4.462383,3.65,4.35,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",0.18205138375616797,,True,,3.1025,4.1975,False,0.8389754980690814,0.025184525846392015,,True,,3.9149999999999996,4.785,True,0.19496309483072174
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2022,1,profit,GAAP operating income,USD bn,-0.347668,-0.2,-0.4,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",,2.311631767459194,,True,-0.565,0.16499999999999998,True,0.16358972324876642,,1.4043184765968608,,True,-0.661,-0.13900000000000007,True,0.11697785689843297
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2023,2,revenue,GAAP operating income,USD bn,5.9196,4.2,5.55,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",0.2904926008514088,,True,,2.94,5.460000000000001,False,1.202108250557469,0.06243665112507604,,True,,4.662,6.438,True,0.30002027163997563
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2023,2,profit,GAAP operating income,USD bn,0.238,-0.05,0.15,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",,5.211018118984874,,False,-0.806,0.706,True,0.2554226636934928,,1.31783922580598,,True,-0.3494999999999999,0.6495,True,0.1687614027974863
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2024,3,revenue,GAAP operating income,USD bn,5.5077,4.7,5.45,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",0.1466492365234126,,False,,2.5850000000000004,6.815,True,0.7680156871289286,0.010476242351616762,,True,,4.251,6.649,True,0.43539045336528853
MRVL@FY2021,calibration,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2021,FY2024,3,profit,GAAP operating income,USD bn,-0.5677,0.1,-0.45,80%,False,MRVL_FY2021_RESULTS / INPHI_FY2020_10K / INPHI_ACQUISITION_ANNOUNCEMENT,"The Inphi deal was publicly announced. Use close probability, partial-year consolidation and target standalone financials.",,12.435047413311887,,False,-1.075,1.2750000000000001,True,0.42667538173829367,,2.0505071048988466,,True,-1.104,0.20400000000000001,True,0.237485701835612
MRVL@FY2022,holdout,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2022,FY2023,1,revenue,GAAP operating income,USD bn,5.9196,5.3,5.8,80%,False,MRVL_FY2022_10K / INPHI_AND_INNOVIUM_ACQUISITIONS,"Separate end markets, program stages, legacy inventory correction and the GAAP acquisition-accounting bridge.",0.10466923440773028,,True,,4.505,6.095,True,0.2685992296776809,0.020204067842421812,,True,,5.336,6.264,True,0.1567673491452125
MRVL@FY2022,holdout,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2022,FY2023,1,profit,GAAP operating income,USD bn,0.238,0,0.15,80%,False,MRVL_FY2022_10K / INPHI_AND_INNOVIUM_ACQUISITIONS,"Separate end markets, program stages, legacy inventory correction and the GAAP acquisition-accounting bridge.",,4.020541928508683,,False,-0.53,0.53,True,0.17906615311845395,,1.4343350319569588,,True,-0.13999999999999999,0.43999999999999995,True,0.09797959321575782
MRVL@FY2022,holdout,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2022,FY2024,2,revenue,GAAP operating income,USD bn,5.5077,5.8,5.45,80%,False,MRVL_FY2022_10K / INPHI_AND_INNOVIUM_ACQUISITIONS,"Separate end markets, program stages, legacy inventory correction and the GAAP acquisition-accounting bridge.",0.05307115492855457,,False,,4.06,7.54,True,0.6318426929571328,0.010476242351616762,,True,,4.687,6.213000000000001,True,0.2770666521415474
MRVL@FY2022,holdout,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2022,FY2024,2,profit,GAAP operating income,USD bn,-0.5677,0.2,-0.5,80%,False,MRVL_FY2022_10K / INPHI_AND_INNOVIUM_ACQUISITIONS,"Separate end markets, program stages, legacy inventory correction and the GAAP acquisition-accounting bridge.",,13.755663700912768,,False,-0.8440000000000001,1.244,True,0.37910561577427965,,1.1330759122382974,,True,-0.9359999999999999,-0.064,True,0.1583238012237413
MRVL@FY2022,holdout,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2022,FY2025,3,revenue,GAAP operating income,USD bn,5.7673,6.3,5.8,80%,False,MRVL_FY2022_10K / INPHI_AND_INNOVIUM_ACQUISITIONS,"Separate end markets, program stages, legacy inventory correction and the GAAP acquisition-accounting bridge.",0.09236557834688679,,True,,3.4650000000000003,9.135,True,0.9831290205121981,0.0056698975257053,,True,,4.64,6.96,True,0.4022679590102822
MRVL@FY2022,holdout,point-and-interval,Marvell Technology,optical-interconnect-custom-silicon,FY2022,FY2025,3,profit,GAAP operating income,USD bn,-0.7203,0.4,-0.6,80%,False,MRVL_FY2022_10K / INPHI_AND_INNOVIUM_ACQUISITIONS,"Separate end markets, program stages, legacy inventory correction and the GAAP acquisition-accounting bridge.",,18.838586128305757,,False,-1.1749999999999998,1.975,True,0.5461827891734434,,2.14455219289251,,True,-1.18,-0.020000000000000018,True,0.20113397950514106
MRVL@FY2023,holdout,point-and-interval-with-regime-tail,Marvell Technology,optical-interconnect-custom-silicon,FY2023,FY2024,1,revenue,GAAP operating income,USD bn,5.5077,6.15,5.45,80%,False,MRVL_FY2023_RESULTS / PRODUCT_STAGE_EVIDENCE,Inventory correction was explicit. Use a discrete AI optical/custom-compute regime tail rather than a linear data-center CAGR.,0.11661855220872606,,False,,5.2275,7.0725,True,0.3349855656626178,0.010476242351616762,,True,,4.905,5.995000000000001,True,0.19790475152967676
MRVL@FY2023,holdout,point-and-interval-with-regime-tail,Marvell Technology,optical-interconnect-custom-silicon,FY2023,FY2024,1,profit,GAAP operating income,USD bn,-0.5677,0.25,-0.5,80%,False,MRVL_FY2023_RESULTS / PRODUCT_STAGE_EVIDENCE,Inventory correction was explicit. Use a discrete AI optical/custom-compute regime tail rather than a linear data-center CAGR.,,14.372428489250305,,False,-0.3650000000000001,0.8650000000000001,False,0.5913539226900519,,1.1330759122382974,,True,-0.9359999999999999,-0.064,True,0.1583238012237413
MRVL@FY2023,holdout,point-and-interval-with-regime-tail,Marvell Technology,optical-interconnect-custom-silicon,FY2023,FY2025,2,revenue,GAAP operating income,USD bn,5.7673,6.5,5.9,80%,False,MRVL_FY2023_RESULTS / PRODUCT_STAGE_EVIDENCE,Inventory correction was explicit. Use a discrete AI optical/custom-compute regime tail rather than a linear data-center CAGR.,0.12704385067535942,,True,,4.55,8.450000000000001,True,0.6762263104052159,0.023009033689941692,,True,,4.720000000000001,7.08,True,0.40920361347597656
MRVL@FY2023,holdout,point-and-interval-with-regime-tail,Marvell Technology,optical-interconnect-custom-silicon,FY2023,FY2025,2,profit,GAAP operating income,USD bn,-0.7203,0.45,-0.5,80%,False,MRVL_FY2023_RESULTS / PRODUCT_STAGE_EVIDENCE,Inventory correction was explicit. Use a discrete AI optical/custom-compute regime tail rather than a linear data-center CAGR.,,19.41245670217633,,False,-0.72,1.6199999999999999,False,0.4062559603280566,,4.014803507912966,,True,-1.326,0.3260000000000002,True,0.28644252943318366
MRVL@FY2023,holdout,point-and-interval-with-regime-tail,Marvell Technology,optical-interconnect-custom-silicon,FY2023,FY2026,3,revenue,GAAP operating income,USD bn,8.1946,6.9,7.5,90%,False,MRVL_FY2023_RESULTS / PRODUCT_STAGE_EVIDENCE,Inventory correction was explicit. Use a discrete AI optical/custom-compute regime tail rather than a linear data-center CAGR.,0.15798208576379558,,True,,3.7950000000000004,10.005,True,0.757816122812584,0.08476313669977784,,True,,5.25,9.75,True,0.5491421179801333
MRVL@FY2023,holdout,point-and-interval-with-regime-tail,Marvell Technology,optical-interconnect-custom-silicon,FY2023,FY2026,3,profit,GAAP operating income,USD bn,1.3229,0.65,0.9,90%,False,MRVL_FY2023_RESULTS / PRODUCT_STAGE_EVIDENCE,Inventory correction was explicit. Use a discrete AI optical/custom-compute regime tail rather than a linear data-center CAGR.,,6.723268097725721,,True,-1.0750000000000002,2.375,True,0.4210089571181022,,4.143557952798184,,True,-0.6,2.4,True,0.36609474532008884
