case_id,split,evaluation_contract,company,mechanism,cutoff,target,horizon,metric,profit_metric,unit,actual,v71,v72,confidence,point_evaluable,human_required,source_ids,point_in_time_note,v71_point_error,v71_margin_error_pp,v71_direction_correct,v71_sign_correct,v71_low,v71_high,v71_hit,v71_interval_score,v72_point_error,v72_margin_error_pp,v72_direction_correct,v72_sign_correct,v72_low,v72_high,v72_hit,v72_interval_score
NFLX@FY2014,calibration,point-and-interval,Netflix,subscriber-content-economics,FY2014,FY2015,1,revenue,operating income,USD bn,6.779511,6.7,6.75,80%,True,True,NFLX_2014_10K / NFLX_2015_10K / NFLX_2016_10K / NFLX_2017_10K,Domestic and international cohorts had different maturity and contribution economics. Net additions alone were insufficient; content cash exceeded amortization.,0.01172813201424116,,True,,6.03,7.370000000000001,True,0.19765437359715188,0.004352968820317614,,True,,6.21,7.290000000000001,True,0.15930352498874933
NFLX@FY2014,calibration,point-and-interval,Netflix,subscriber-content-economics,FY2014,FY2015,1,profit,operating income,USD bn,0.305826,0.45,0.32,80%,True,True,NFLX_2014_10K / NFLX_2015_10K / NFLX_2016_10K / NFLX_2017_10K,Domestic and international cohorts had different maturity and contribution economics. Net additions alone were insufficient; content cash exceeded amortization.,,2.20538459255802,,True,0.182,0.718,True,0.07906174943886071,,0.22970742285099918,,True,0.185,0.455,True,0.0398258812471873
NFLX@FY2014,calibration,point-and-interval,Netflix,subscriber-content-economics,FY2014,FY2016,2,revenue,operating income,USD bn,8.830669,8.0,8.6,80%,True,True,NFLX_2014_10K / NFLX_2015_10K / NFLX_2016_10K / NFLX_2017_10K,Domestic and international cohorts had different maturity and contribution economics. Net additions alone were insufficient; content cash exceeded amortization.,0.0940663725477651,,True,,6.5600000000000005,9.44,True,0.32613610588280445,0.026121350488847523,,True,,7.568,9.632,True,0.2337308758826766
NFLX@FY2014,calibration,point-and-interval,Netflix,subscriber-content-economics,FY2014,FY2016,2,profit,operating income,USD bn,0.379793,0.6,0.42,80%,True,True,NFLX_2014_10K / NFLX_2015_10K / NFLX_2016_10K / NFLX_2017_10K,Domestic and international cohorts had different maturity and contribution economics. Net additions alone were insufficient; content cash exceeded amortization.,,3.199159372862917,,True,0.039999999999999925,1.1600000000000001,True,0.1268307078433129,,0.5828803030954753,,True,0.16199999999999998,0.6779999999999999,True,0.05843271897066915
NFLX@FY2014,calibration,point-and-interval,Netflix,subscriber-content-economics,FY2014,FY2017,3,revenue,operating income,USD bn,11.692713,9.7,11.3,80%,True,True,NFLX_2014_10K / NFLX_2015_10K / NFLX_2016_10K / NFLX_2017_10K,Domestic and international cohorts had different maturity and contribution economics. Net additions alone were insufficient; content cash exceeded amortization.,0.17042349367507784,,True,,7.2749999999999995,12.125,True,0.41478825316246115,0.033586131807049294,,True,,9.266000000000002,13.334,True,0.34790899254946206
NFLX@FY2014,calibration,point-and-interval,Netflix,subscriber-content-economics,FY2014,FY2017,3,profit,operating income,USD bn,0.838679,0.85,0.78,80%,True,True,NFLX_2014_10K / NFLX_2015_10K / NFLX_2016_10K / NFLX_2017_10K,Domestic and international cohorts had different maturity and contribution economics. Net additions alone were insufficient; content cash exceeded amortization.,,1.5902227345558837,,True,-0.12,1.8199999999999998,True,0.16591530126498444,,0.2700089961256244,,True,0.328,1.232,True,0.07731310945543604
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2017,1,revenue,operating income,USD bn,11.692713,10.6,11.5,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",0.09345247762431182,,True,,9.54,11.66,False,0.20928675834256724,0.016481461573545804,,True,,10.58,12.420000000000002,True,0.1573629661482328
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2017,1,profit,operating income,USD bn,0.838679,0.6,0.78,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",,1.5122865048916954,,True,0.176,1.024,True,0.07252380179005506,,0.390055167730087,,True,0.55,1.01,True,0.03934074153705817
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2018,2,revenue,operating income,USD bn,15.794341,12.7,15.0,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",0.1959145367318586,,True,,10.414,14.985999999999999,False,0.8012623002124625,0.05029275991951797,,True,,13.2,16.8,True,0.2279297376193158
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2018,2,profit,operating income,USD bn,1.605226,0.95,1.45,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",,2.6829834004729576,,True,0.06099999999999994,1.839,True,0.1125719648575398,,0.49663169443621286,,True,1.075,1.825,True,0.047485362004024104
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2019,3,revenue,operating income,USD bn,20.156447,15.0,19.2,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",0.255821226826335,,True,,11.25,18.75,False,1.0698547219160202,0.04745117033770886,,True,,15.744,22.656,True,0.34291757867842476
NFLX@FY2016,holdout,point-and-interval,Netflix,subscriber-content-economics,FY2016,FY2019,3,profit,operating income,USD bn,2.604254,1.4,2.35,80%,True,True,NFLX_2016_10K / NFLX_2017_10K / NFLX_2018_10K / NFLX_2019_10K,"International contribution economics were approaching inflection while content payments, obligations and debt still constrained cash economics.",,3.586870311684065,,True,-0.10000000000000009,2.9,True,0.148835754634733,,0.6806203116840631,,True,1.678,3.0220000000000002,True,0.0666784180763604
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2019,1,revenue,operating income,USD bn,20.156447,18.5,19.8,80%,True,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,0.08217951308581319,,True,,16.650000000000002,20.35,True,0.18356409738283733,0.01768401941076219,,True,,18.216,21.384000000000004,True,0.1571705568942782
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2019,1,profit,operating income,USD bn,2.604254,2.2,2.45,80%,True,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,1.0283117531255048,,True,1.4600000000000002,2.9400000000000004,True,0.07342563895313496,,0.546466271280023,,True,2.0540000000000003,2.846,True,0.0392926392235695
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2020,2,revenue,operating income,USD bn,24.996056,21.5,23.5,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,17.630000000000003,25.369999999999997,True,0.30964885020260774,,,,,16.919999999999998,30.080000000000002,True,0.526483057967225
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2020,2,profit,operating income,USD bn,4.585289,3.0,3.65,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,1.4949999999999999,4.505,False,0.1846603320139789,,,,,1.2999999999999998,6.0,True,0.1880296635597232
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2021,3,revenue,operating income,USD bn,29.697844,24.5,27.0,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,18.375,30.625,True,0.41248785602079396,,,,,17.55,36.45,True,0.6364098350035108
NFLX@FY2018,holdout,point-and-interval-with-exogenous-tail,Netflix,subscriber-content-economics,FY2018,FY2021,3,profit,operating income,USD bn,6.194509,3.8,5.0,90%,False,True,NFLX_2018_10K / NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K,2019 remained a normal forecast year. Pandemic demand pull-forward and production delays in 2020-2021 were exogenous tails rather than deterministic Base inputs.,,,,,1.3499999999999996,6.25,True,0.1649951424083176,,,,,1.2199999999999998,8.780000000000001,True,0.2545639340014043
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2020,1,revenue,operating income,USD bn,24.996056,23.5,23.8,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,21.150000000000002,25.85,True,0.18802966355972317,,,,,18.564,29.036,True,0.4189460929356216
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2020,1,profit,operating income,USD bn,4.585289,3.4,3.8,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,2.46,4.34,False,0.2714740277426171,,,,,1.658,5.942,True,0.17138703801911792
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2021,2,revenue,operating income,USD bn,29.697844,27.0,27.5,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,22.14,31.86,True,0.327296486573234,,,,,19.25,35.75,True,0.5555958877014776
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2021,2,profit,operating income,USD bn,6.194509,4.2,5.0,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,2.31,6.09,False,0.1976635071556037,,,,,1.7000000000000002,8.3,True,0.22223835508059106
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2022,3,revenue,operating income,USD bn,31.61555,30.5,30.0,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,22.875,38.125,True,0.4823575740418876,,,,,19.5,40.5,True,0.6642301019593206
NFLX@FY2019,exogenous,distribution-only-exogenous-shock,Netflix,subscriber-content-economics,FY2019,FY2022,3,profit,operating income,USD bn,5.632831,5.1,5.6,90%,False,True,NFLX_2019_10K / NFLX_2020_10K / NFLX_2021_10K / NFLX_2022_10K,"COVID-related demand acceleration and production/payment delays were not knowable at the FY2019 cutoff. Evaluate distribution coverage and cash-content resilience, not point accuracy.",,,,,2.0499999999999994,8.15,True,0.1929430296167551,,,,,1.0999999999999996,10.1,True,0.2846700436968517
