case_id,split,company,archetype,cutoff,target,horizon,metric,profit_metric,unit,actual,v61,v62,v61_point_error,v61_margin_error_pp,v61_direction_correct,v61_low,v61_high,v61_hit,v61_interval_score,v62_point_error,v62_margin_error_pp,v62_direction_correct,v62_low,v62_high,v62_hit,v62_interval_score,v61_sign_correct,v62_sign_correct
LRCX@FY2020,calibration,Lam Research,wafer-fab-equipment,FY2020,FY2021,1,revenue,operating_income,USD bn,14.62615,12.5,13.8,0.1453663472615829,,True,11.25,13.750000000000002,False,0.7699565504250943,0.056484447376787476,,True,12.696000000000002,14.904000000000002,True,0.15096248841971402,,
LRCX@FY2020,calibration,Lam Research,wafer-fab-equipment,FY2020,FY2021,1,profit,operating_income,USD bn,4.482023,3.4,4.05,,3.4439015051807855,,2.9,3.9,False,0.46630384619329074,,1.2960754182242684,,3.5669999999999997,4.5329999999999995,True,0.06604608868362485,True,True
LRCX@FY2020,calibration,Lam Research,wafer-fab-equipment,FY2020,FY2022,2,revenue,operating_income,USD bn,17.227039,14.5,16.0,0.1582999260639046,,True,11.89,17.11,False,0.37095115417106894,0.07122750462223956,,True,13.6,18.4,True,0.27863174861332807,,
LRCX@FY2020,calibration,Lam Research,wafer-fab-equipment,FY2020,FY2022,2,profit,operating_income,USD bn,5.381822,4.1,4.8,,2.964689484902794,,3.0849999999999995,5.115,False,0.2727235945771061,,1.2405515538683076,,3.84,5.76,True,0.11145269944533125,True,True
LRCX@FY2020,calibration,Lam Research,wafer-fab-equipment,FY2020,FY2023,3,revenue,operating_income,USD bn,17.428516,16.0,17.0,0.0819642934602119,,True,12.0,20.0,True,0.459017853269894,0.024587061801475144,,True,13.26,20.74,True,0.42918169280735086,,
LRCX@FY2020,calibration,Lam Research,wafer-fab-equipment,FY2020,FY2023,3,profit,operating_income,USD bn,5.17486,4.6,5.0,,0.9419141021530519,,2.9999999999999996,6.199999999999999,True,0.1836071413079576,,0.2801493962706958,,3.5549999999999997,6.445,True,0.16582019949374927,True,True
KLA@FY2020,calibration,KLA,process-control,FY2020,FY2021,1,revenue,net_income,USD bn,6.918734,6.5,6.7,0.06052176597626094,,True,5.8500000000000005,7.15,True,0.1878956468047478,0.03161474339091509,,True,6.164000000000001,7.236000000000001,True,0.1549416410574536,,
KLA@FY2020,calibration,KLA,process-control,FY2020,FY2021,1,profit,net_income,USD bn,2.078292,1.55,1.9,,6.192463045317917,,1.29,1.81,False,0.4629344038952788,,1.6804079362478852,,1.6989999999999998,2.101,True,0.05810311539654511,True,True
KLA@FY2020,calibration,KLA,process-control,FY2020,FY2022,2,revenue,net_income,USD bn,9.211883,7.2,8.5,0.2184008416086049,,True,5.904000000000001,8.496,False,1.0585056280024396,0.07727877134349191,,True,7.31,9.690000000000001,True,0.25836194402382245,,
KLA@FY2020,calibration,KLA,process-control,FY2020,FY2022,2,profit,net_income,USD bn,3.321807,1.85,2.9,,10.365577160258955,,1.346,2.354,False,1.1600310164599354,,1.9423745458798714,,2.4749999999999996,3.325,True,0.09227212286565087,True,True
KLA@FY2020,calibration,KLA,process-control,FY2020,FY2023,3,revenue,net_income,USD bn,10.496056,8.0,9.8,0.2378089446169113,,True,6.0,10.0,False,0.8537073354029355,0.06631595715571627,,True,7.840000000000001,11.76,True,0.3734736171377134,,
KLA@FY2020,calibration,KLA,process-control,FY2020,FY2023,3,profit,net_income,USD bn,3.387277,2.1,3.1,,6.021902893810783,,1.3,2.9000000000000004,False,0.6166859246939992,,0.6392498325862972,,2.365,3.835,True,0.14005260642664252,True,True
LRCX@FY2021,holdout,Lam Research,wafer-fab-equipment,FY2021,FY2022,1,revenue,operating_income,USD bn,17.227039,17.0,16.9,0.013179223661129537,,True,15.3,18.700000000000003,True,0.1973641552677742,0.018984051757240623,,True,15.548,18.252,True,0.15696255171884144,,
LRCX@FY2021,holdout,Lam Research,wafer-fab-equipment,FY2021,FY2022,1,profit,operating_income,USD bn,5.381822,5.3,5.2,,0.06408096563301213,,4.62,5.9799999999999995,True,0.0789456621071096,,0.4713207846375356,,4.6085,5.7915,True,0.06867111637699315,True,True
LRCX@FY2021,holdout,Lam Research,wafer-fab-equipment,FY2021,FY2023,2,revenue,operating_income,USD bn,17.428516,19.0,17.3,0.09016740151599836,,True,15.580000000000002,22.419999999999998,True,0.3924602645457592,0.007373892303854077,,True,14.705,19.895,True,0.29778783230884376,,
LRCX@FY2021,holdout,Lam Research,wafer-fab-equipment,FY2021,FY2023,2,profit,operating_income,USD bn,5.17486,6.1,5.05,,2.413349055741687,,4.77,7.43,True,0.15262343621223978,,0.5011626570663452,,4.012,6.088,True,0.11911513292353754,True,True
LRCX@FY2021,holdout,Lam Research,wafer-fab-equipment,FY2021,FY2024,3,revenue,operating_income,USD bn,14.905386,20.5,15.5,0.37534177243044897,,False,15.375,25.625,False,1.0027341794435918,0.03989255964253458,,True,12.09,18.91,True,0.45755272624271526,,
LRCX@FY2021,holdout,Lam Research,wafer-fab-equipment,FY2021,FY2024,3,profit,operating_income,USD bn,4.263913,6.7,4.4,,4.076401644345207,,4.65,8.75,False,0.5340935149213852,,0.21942841072953856,,3.0825000000000005,5.7175,True,0.17678173513923087,True,True
LRCX@FY2022,holdout,Lam Research,wafer-fab-equipment,FY2022,FY2023,1,revenue,operating_income,USD bn,17.428516,18.2,17.0,0.04426561618900892,,True,16.38,20.02,True,0.20885312323780184,0.024587061801475144,,False,15.64,18.36,True,0.1560660701117639,,
LRCX@FY2022,holdout,Lam Research,wafer-fab-equipment,FY2022,FY2023,1,profit,operating_income,USD bn,5.17486,5.6,5.0,,1.0773166670777212,,4.872,6.327999999999999,True,0.08354124929512069,,0.2801493962706958,,4.405,5.595,True,0.06827890567389672,True,True
LRCX@FY2022,holdout,Lam Research,wafer-fab-equipment,FY2022,FY2024,2,revenue,operating_income,USD bn,14.905386,19.0,15.8,0.27470700859407465,,False,15.580000000000002,22.419999999999998,False,0.91149199356528,0.060019512409809496,,True,13.43,18.169999999999998,True,0.3180058537229427,,
LRCX@FY2022,holdout,Lam Research,wafer-fab-equipment,FY2022,FY2024,2,profit,operating_income,USD bn,4.263913,5.8,4.5,,1.9197906045505975,,4.47,7.13,False,0.31672242503481635,,0.12551252669524282,,3.552,5.448,True,0.12720234148917717,True,True
LRCX@FY2022,holdout,Lam Research,wafer-fab-equipment,FY2022,FY2025,3,revenue,operating_income,USD bn,18.435591,20.0,17.5,0.08485808781503133,,True,15.0,25.0,True,0.5424290439075157,0.05074917316184758,,True,13.65,21.349999999999998,True,0.4176703638087869,,
LRCX@FY2022,holdout,Lam Research,wafer-fab-equipment,FY2022,FY2025,3,profit,operating_income,USD bn,5.900968,6.1,5.4,,1.5085643036884477,,4.1,8.1,True,0.21697161756300626,,1.1514214465455863,,3.9125000000000005,6.8875,True,0.1613726405624859,True,True
KLA@FY2021,holdout,KLA,process-control,FY2021,FY2022,1,revenue,net_income,USD bn,9.211883,8.2,8.8,0.10984540294313344,,True,7.38,9.02,False,0.3863303517858408,0.04471213974385037,,True,8.096000000000002,9.504000000000001,True,0.15284605764098388,,
KLA@FY2021,holdout,KLA,process-control,FY2021,FY2022,1,profit,net_income,USD bn,3.321807,2.6,3.0,,4.352704531532664,,2.2720000000000002,2.928,False,0.4987112841098831,,1.9691125137943133,,2.7359999999999998,3.2640000000000002,False,0.12006991404471809,True,True
KLA@FY2021,holdout,KLA,process-control,FY2021,FY2023,2,revenue,net_income,USD bn,10.496056,9.0,10.0,0.14253506269402522,,True,7.380000000000001,10.62,True,0.3086873774301508,0.047261180771139125,,True,8.6,11.400000000000002,True,0.2667668693840813,,
KLA@FY2021,holdout,KLA,process-control,FY2021,FY2023,2,profit,net_income,USD bn,3.387277,2.85,3.2,,0.6052362271441181,,2.2199999999999998,3.4800000000000004,True,0.12004509122283653,,0.2719028938107826,,2.7,3.7,True,0.09527388192288609,True,True
KLA@FY2021,holdout,KLA,process-control,FY2021,FY2024,3,revenue,net_income,USD bn,9.812247,9.7,9.5,0.011439479662507477,,False,7.2749999999999995,12.125,True,0.4942802601687464,0.031822170803486635,,True,7.6000000000000005,11.4,True,0.38727113167860533,,
KLA@FY2021,holdout,KLA,process-control,FY2021,FY2024,3,profit,net_income,USD bn,2.761896,3.0,2.65,,2.7803984857934063,,2.0300000000000002,3.9699999999999998,True,0.19771210406749848,,0.25269972364772575,,1.9375,3.3625,True,0.14522667437947698,True,True
KLA@FY2022,holdout,KLA,process-control,FY2022,FY2023,1,revenue,net_income,USD bn,10.496056,10.0,10.2,0.047261180771139125,,True,9.0,11.0,True,0.19054776384577218,0.028206404386561974,,True,9.384,11.016,True,0.15548697529815006,,
KLA@FY2022,holdout,KLA,process-control,FY2022,FY2023,1,profit,net_income,USD bn,3.387277,3.5,3.2,,2.7280971061892147,,3.1,3.9,True,0.07621910553830885,,0.899353874202935,,2.894,3.5060000000000002,True,0.0583076157368063,True,True
KLA@FY2022,holdout,KLA,process-control,FY2022,FY2024,2,revenue,net_income,USD bn,9.812247,10.6,9.5,0.08028263047189908,,False,8.692,12.508,True,0.38890174696988355,0.031822170803486635,,True,8.17,10.830000000000002,True,0.27108979217502394,,
KLA@FY2022,holdout,KLA,process-control,FY2022,FY2024,2,profit,net_income,USD bn,2.761896,3.7,2.65,,6.758223811605507,,2.958,4.442,False,0.35109593144159545,,0.25269972364772575,,2.175,3.125,True,0.09681778291965136,True,True
KLA@FY2022,holdout,KLA,process-control,FY2022,FY2025,3,revenue,net_income,USD bn,12.156162,11.2,11.5,0.07865656940076982,,True,8.399999999999999,14.0,True,0.46067171529961526,0.05397772750971895,,True,9.200000000000001,13.799999999999999,True,0.37840890899611224,,
KLA@FY2022,holdout,KLA,process-control,FY2022,FY2025,3,profit,net_income,USD bn,4.061643,3.9,3.75,,1.4092134331308126,,2.7800000000000002,5.02,True,0.18426868611984598,,0.8035194861238493,,2.8875,4.6125,True,0.14190334087354212,True,True
